YOU JUST WATCHED
Petals in the Wind;;384;Lobster Two




CAST

Magaret Flurry;Analisa Colson
Syble Borja;Shantelle Nealon
Felecia Shim;Tess Hope
Tess Locklear;Cleta Keitt
Lai Freiberg;Mathilda Penny
Loree Vazguez;Chantelle Delgadillo
Britta Gullickson;Bethel Tea
Ardelia Bellin;Susannah Simser
Nikia Yetman;Renetta Strub
Janie Mccargo;Shonta Zastrow
Willard Harring;Vaughn Fikes  
Wilson Higuchi;Cleveland Wormley  
Jimmie Godbout;Randy Prevatte  
Elroy Capote;Hunter Warwick  
Garfield Phillippe;Monroe Shoultz  
Lenard Behr;Houston Ochoa  
Louie Learned;Kelley Ippolito  
Van Kovacich;Ian Patten  
Isaias Waller;Dorian Mayville  
Freddy Blanton;Vernon Primavera  






CREW

Unit Production Manager;Nu Chennault

First Assistant Director;Alysia Brodbeck

Key Second Assistant Director;Rod Bordner
  

Production Superviors;Randell Rubin
                     ;Stefani Kirker
Script Supervisors;Charise Tedesco  
                  ;Karey Vail  
First Camera Assistants;Issac Khalil  
                       ;Valene Konen  
Second Camera Assitants;Skye Swett 
                       ;Iraida Sund  
Steadicam Operator;Theron Hudgens  
Production Sound Mixer;Dalton Trevathan  
Boom Operator;Thanh Huseby 
Cable Person;Rosalba Annis 
Location Manager;Wilfred Streicher 
2nd 2nd Assistant Directory;Dion Madia  
First Assistant Editor;Marlyn Kopec
Second Assistant Editor;Beulah Carte
Apprentice Editor;Jamel Celestine  
Editorial Assistant;Antony Velarde 
Casting Associate;Xavier Woodruff  
Production Office Coordinator;Polly Ernest  
Assistant Office Coordinator;Floyd Figueiredo
Office Assistant;Kera Benshoof 
Office Intern;Thuy Rosenow  
Property Master;Carolann Doom 
Gaffer;Alejandra Seery
Key Grip;Margorie Villalobos
Key Make-up Artist;Natacha Barthel  
Make-up Artists;Usha Vandenberg  
               ;Garth Vanderveen  
Key Hairstylist;Harvey Chretien  
Hairstylists;Humberto Schumann 
            ;Victoria Doung
Senior Set Designer;Myong Kleve  
Set Designer;Sammy Campisi  
Storyboard Consultant;Ulrike Prosperie  
Special Effects;Travis Capozzi  
Animal Trainer;Nila Heatley  
Wardrobe Supervisor;Jeremy Remer  
Key Costumers;Wilfredo Durrant  
             ;Eun Gaul  
Costumers;Sachiko Brinkley  
         ;Loise Schmitmeyer  
         ;Marco Mayes  







_IMAGE;luxicolor.svg;256







This motion picture © 1899 Walther Brothers

All material is protected by Copyright Laws of the United States and all countries
throughout the world. All rights reserved. Country of First Publication:
United States of America. Walther Brothers is the author of this motion picture
for purposes of copyright and other laws. Any unauthorized exhibition,
distribution or copyring of this film or any part thereof (including soundtrack)
is an infringement of the relevant copyright and will subject the infringer
to severe civil and criminal penalties.

The story, all names, characters and incidents portrayed in this production
are ficitious. No identification with actual persons, places, buildings
and products is intended or should be inferred.
